,flag,tokenized_without_stopwords
0,0,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']"
1,0,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']"
2,1,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', 'text', 'fa', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'c', ""'s"", 'apply', '08452810075over18', ""'s""]"
3,0,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']"
4,0,"['nah', ""n't"", 'think', 'goes', 'usf', 'lives', 'around', 'though']"
5,1,"['freemsg', 'hey', 'darling', ""'s"", 'week', ""'s"", 'word', 'back', ""'d"", 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'å£1.50', 'rcv']"
6,0,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']"
7,0,"['per', 'request', ""'melle"", 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']"
8,1,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'å£900', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl341', 'valid', 'hours']"
9,1,"['mobile', 'months', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']"
10,0,"[""'m"", 'gon', 'na', 'home', 'soon', ""n't"", 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', ""'ve"", 'cried', 'enough', 'today']"
11,1,"['six', 'chances', 'win', 'cash', 'pounds', 'txt', 'csh11', 'send', 'cost', '150p/day', '6days', '16+', 'tsandcs', 'apply', 'reply', 'hl', 'info']"
12,1,"['urgent', 'week', 'free', 'membership', 'å£100000', 'prize', 'jackpot', 'txt', 'word', 'claim', 'c', 'www.dbuk.net', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
13,0,"[""'ve"", 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']"
14,0,"['date', 'sunday']"
15,1,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'http', '//wap', 'xxxmobilemovieclub.com', 'n=qjkgighjjgcbl']"
16,0,"['oh', 'k', ""'m"", 'watching']"
17,0,"['eh', 'u', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']"
18,0,"['fine', 'thatåõs', 'way', 'u', 'feel', 'thatåõs', 'way', 'gota', 'b']"
19,1,"['england', 'v', 'macedonia', 'dont', 'miss', 'goals/team', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'try', 'wales', 'scotland', '4txt/ì¼1.20', 'poboxox36504w45wq', '16+']"
20,0,"['seriously', 'spell', 'name']"
21,0,"['i‰û÷m', 'going', 'try', 'months', 'ha', 'ha', 'joking']"
22,0,"['ì_', 'pay', 'first', 'lar', 'da', 'stock', 'comin']"
23,0,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
24,0,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
25,0,"['forced', 'eat', 'slice', ""'m"", 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', ""'m"", 'sick', 'turn', 'pizza', 'lol']"
26,0,"['lol', 'always', 'convincing']"
27,0,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', ""'s"", 'left', 'dinner', 'feel', 'love']"
28,0,"[""'m"", 'back', 'amp', ""'re"", 'packing', 'car', ""'ll"", 'let', 'know', ""'s"", 'room']"
29,0,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']"
30,0,"['wait', ""'s"", 'still', 'clear', 'sure', 'sarcastic', ""'s"", 'x', ""n't"", 'want', 'live', 'us']"
31,0,"['yeah', 'got', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wo', ""n't"", 'go', 'badly', 'cheers']"
32,0,"['k', 'tell', 'anything']"
33,0,"['fear', 'fainting', 'housework', 'quick', 'cuppa']"
34,1,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'å£5/month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']"
35,0,"['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'ì_', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']"
36,0,"['oops', ""'ll"", 'let', 'know', 'roommate', ""'s"", 'done']"
37,0,"['see', 'letter', 'b', 'car']"
38,0,"['anything', 'lor', 'u', 'decide']"
39,0,"['hello', ""'s"", 'saturday', 'go', 'texting', 'see', ""'d"", 'decided', 'anything', 'tomo', ""'m"", 'trying', 'invite', 'anything']"
40,0,"['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']"
41,0,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']"
42,1,"['rodger', 'burns', 'msg', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']"
43,0,['seeing']
44,0,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'lt', 'gt', 'inches']"
45,0,"['calls', 'messages', 'missed', 'calls']"
46,0,"[""n't"", 'get', 'hep', 'b', 'immunisation', 'nigeria']"
47,0,"['fair', 'enough', 'anything', 'going']"
48,0,"['yeah', 'hopefully', 'tyler', 'ca', ""n't"", 'could', 'maybe', 'ask', 'around', 'bit']"
49,0,"['u', ""n't"", 'know', 'stubborn', ""n't"", 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', ""'m"", 'weak', 'sucker', 'hospitals', 'weak', 'suckers']"
50,0,"['thinked', 'first', 'time', 'saw', 'class']"
51,0,"['gram', 'usually', 'runs', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'lt', 'gt_x000d_', 'k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', ""'s"", 'crashing', 'place', 'tonight_x000d_', 'wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', '\\the', 'cave\\', ""'m"", 'sorry', ""n't"", ""n't"", 'give', ""'m"", 'sorry', 'offered', ""'m"", 'sorry', 'room', 'embarassing']"
52,1,"['sms', 'ac', 'sptv', 'new', 'jersey', 'devils', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']"
53,0,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturl', 'gt']"
54,1,"['congrats', 'year', 'special', 'cinema', 'pass', 'call', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', 'free', 'bx420-ip4-5we', '150pm', 'dont', 'miss']"
55,0,"['sorry', ""'ll"", 'call', 'later', 'meeting']"
56,0,"['tell', 'reached']"
57,0,"['yes', 'gauti', 'sehwag', 'odi', 'series']"
58,0,"['gon', 'na', 'pick', 'burger', 'way', 'home', 'ca', ""n't"", 'even', 'move', 'pain', 'killing']"
59,0,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'situation', 'seekers']"
60,0,"['part', 'checking', 'iq']"
61,0,"['sorry', 'roommates', 'took', 'forever', 'ok', 'come']"
62,0,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
63,1,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'å£1500', 'bonus', 'prize', 'call']"
64,0,"['today', '\\song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']"
65,1,"['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'aco', 'entry41', 'å£1000', 'claim', 'txt', 'dis', '18+6', 'å£1.50', 'morefrmmob', 'shracomorsglsuplt', 'ls1', '3aj']"
66,1,"['hear', 'new', '\\divorce', 'barbie\\', 'comes', 'ken', ""'s"", 'stuff']"
67,0,"['plane', 'give', 'month', 'end']"
68,0,"['wah', 'lucky', 'man', 'save', 'money', 'hee']"
69,0,"['finished', 'class']"
70,0,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'something', 'xx']"
71,0,"['k', 'k', 'performed']"
72,0,"['u', 'call']"
73,0,"['waiting', 'machan', 'call', 'free']"
74,0,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
75,0,"['like', 'peoples', 'much', 'shy', 'pa']"
76,0,"['operate', 'lt', 'gt']"
77,0,"['still', 'looking', 'job', 'much', 'ta', ""'s"", 'earn']"
78,0,"['sorry', ""'ll"", 'call', 'later']"
79,0,"['k.', 'call', 'ah']"
80,0,"['ok', 'way', 'home', 'hi', 'hi']"
81,0,"['place', 'man']"
82,0,"['yup', 'next', 'stop']"
83,0,"['call', 'later', ""n't"", 'network', 'urgnt', 'sms']"
84,0,"['real', 'u', 'getting', 'yo', 'need', 'tickets', 'one', 'jacket', ""'m"", 'done', 'already', 'used', 'multis']"
85,0,"['yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', ""'m"", 'back', 'bed', 'double', 'coins', 'factory', 'got', 'ta', 'cash', 'nitros']"
86,0,"[""'m"", 'really', 'still', 'tonight', 'babe']"
87,0,"['ela', 'kano.il', 'download', 'come', 'wen', 'ur', 'free']"
88,0,"['yeah', 'don‰û÷t', 'stand', 'close', 'tho-', 'you‰û÷ll', 'catch', 'something']"
89,0,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', ""n't"", 'done', 'stuff42moro', 'includes', 'time', 'sheets', 'sorry']"
